subjid cohort abs_mean abs_max rel_mean rel_max
TX0135TXMR1R1 1 0.155 1.017 0.027 0.802
TX0136TXMR1R1 1 0.104 0.305 0.082 0.268
TX0139TXMR1R1 1 0.370 0.977 0.052 0.196
TX0140TXMR1R1 1 0.208 0.520 0.011 0.042
TX0141TXMR1R1 1 0.176 0.423 0.040 0.278
TX0142TXMR1R1 1 0.080 0.188 0.037 0.145
TX0145TXMR1R1 1 0.245 0.798 0.048 0.329
TX0149TXMR1R1 1 0.214 0.606 0.016 0.118
TX0151TXMR1R1 1 0.114 0.652 0.036 0.465
TX0153TXMR1R1 1 0.158 0.343 0.022 0.111
TX0155TXMR1R1 1 0.199 0.594 0.058 0.186
TX0159TXMR1R1 1 0.120 0.270 0.027 0.133
TX0162TXMR1R1 1 0.078 0.170 0.020 0.061
TX0165TXMR1R1 1 0.087 0.248 0.045 0.161
TX0169TXMR1R1 1 0.121 0.474 0.034 0.315
TX0172TXMR1R1 1 0.109 0.367 0.050 0.226
TX0175TXMR1R1 1 0.124 0.261 0.025 0.127
TX0177TXMR1R1 1 0.153 0.447 0.054 0.352
TX0179TXMR1R1 1 0.263 0.506 0.025 0.211
TX0182TXMR1R1 1 0.167 0.451 0.061 0.191
TX0187TXMR1R1 1 0.264 0.844 0.098 0.549
TX0188TXMR1R1 1 0.169 0.539 0.028 0.131
TX0193TXMR1R1 1 0.128 0.351 0.021 0.117
TX0194TXMR1R1 1 0.153 0.426 0.061 0.241
TX0195TXMR1R1 1 0.229 0.536 0.039 0.226
TX0204TXMR1R1 1 0.171 0.392 0.078 0.276
UM0003UMMR1R1 1 0.647 1.378 0.051 0.835
UM0004UMMR1R1 1 0.192 0.836 0.076 0.449
UM0005UMMR1R1 2 0.230 0.588 0.017 0.130
UM0006UMMR1R1 2 0.288 0.917 0.049 0.394
UM0008UMMR1R1 1 0.389 1.550 0.060 0.809
UM0011UMMR1R1 1 0.249 0.588 0.047 0.103
UM0013UMMR1R1 1 0.387 0.965 0.042 0.205
UM0015UMMR1R1 1 0.279 0.817 0.028 0.087
UM0023UMMR1R1 2 0.265 0.579 0.033 0.124
UM0025UMMR1R1 1 0.277 0.588 0.100 0.272
UM0027UMMR1R1 1 0.586 1.807 0.027 0.122
UM0029UMMR1R1 2 0.244 0.652 0.021 0.240
UM0032UMMR1R1 2 0.414 0.920 0.079 0.264
UM0035UMMR1R1 2 0.329 0.791 0.039 0.189
UM0036UMMR1R1 1 0.327 0.612 0.019 0.205
UM0037UMMR1R1 1 0.261 0.583 0.024 0.422
UM0038UMMR1R1 1 0.358 1.025 0.063 0.342
UM0047UMMR1R1 1 0.354 1.010 0.094 0.586
UM0048UMMR1R1 1 0.304 0.642 0.044 0.122
UM0049UMMR1R1 1 0.325 0.691 0.029 0.163
UM0050UMMR1R1 1 0.263 0.540 0.013 0.096
UM0056UMMR1R1 1 0.380 0.761 0.036 0.121
UM0058UMMR1R1 1 0.563 1.237 0.040 0.325
UM0060UMMR1R1 1 0.551 1.095 0.023 0.102
UM0065UMMR1R1 1 0.505 1.639 0.072 0.612
UM0066UMMR1R1 1 0.397 0.845 0.036 0.186
UM0078UMMR1R1 1 0.394 0.775 0.022 0.117
UM0079UMMR1R1 1 0.359 0.860 0.036 0.198
UM0080UMMR1R1 1 0.301 0.749 0.062 0.235
UM0082UMMR1R1 1 0.220 0.492 0.027 0.065
UM0083UMMR1R1 1 0.415 0.932 0.040 0.189
UM0088UMMR1R1 1 0.411 0.891 0.064 0.284
UM0090UMMR1R1 1 0.509 2.318 0.039 1.416
UM0114UMMR1R1 1 0.241 0.557 0.016 0.194
UM0118UMMR1R1 1 0.351 1.586 0.022 0.152
UM0119UMMR1R1 1 0.180 0.452 0.029 0.111
UM0121UMMR1R1 1 0.361 1.022 0.098 0.327
